URL,Number of outlinks
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/3/,12
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/2/,12
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/1/,11
https://www.japscan.ws/manga/daddy-from-hell/,243
https://www.japscan.ws/lecture-en-ligne/daddy-from-hell/102/,11
https://www.japscan.ws/lecture-en-ligne/daddy-from-hell/101/,12
https://www.japscan.ws/manga/can-we-become-a-family/,155
https://www.japscan.ws/lecture-en-ligne/can-we-become-a-family/14/,11
https://www.japscan.ws/lecture-en-ligne/three-lifetimes/46/,12
https://www.japscan.ws/lecture-en-ligne/three-lifetimes/45/,12
https://www.japscan.ws/lecture-en-ligne/three-lifetimes/44/,12
https://www.japscan.ws/lecture-en-ligne/three-lifetimes/43/,12
https://www.japscan.ws/manga/nier-automata-yorha-shinjuwan-takashika-sakusen-kiroku/,144
https://www.japscan.ws/lecture-en-ligne/nier-automata-yorha-shinjuwan-takashika-sakusen-kiroku/3/,11
https://www.japscan.ws/manga/isekai-shikkaku/,153
https://www.japscan.ws/lecture-en-ligne/isekai-shikkaku/10/,11
https://www.japscan.ws/manga/kemokko-dobutsuen/,159
https://www.japscan.ws/lecture-en-ligne/kemokko-dobutsuen/15/,11
https://www.japscan.ws/manga/infinite-apostles-and-twelve-war-girls/,223
https://www.japscan.ws/lecture-en-ligne/infinite-apostles-and-twelve-war-girls/79/,11
https://www.japscan.ws/lecture-en-ligne/martial-peak/764/,12
https://www.japscan.ws/lecture-en-ligne/martial-peak/763/,12
https://www.japscan.ws/manga/marriage-and-sword/,151
https://www.japscan.ws/lecture-en-ligne/marriage-and-sword/9/,11
https://www.japscan.ws/manga/regressor-instruction-manual/,174
https://www.japscan.ws/lecture-en-ligne/regressor-instruction-manual/34/,11
https://www.japscan.ws/manga/release-that-witch/,252
https://www.japscan.ws/lecture-en-ligne/release-that-witch/108/,11
https://www.japscan.ws/manga/lookism/,384
https://www.japscan.ws/lecture-en-ligne/lookism/243/,11
https://www.japscan.ws/lecture-en-ligne/lookism/242/,12
https://www.japscan.ws/lecture-en-ligne/lookism/241/,12
https://www.japscan.ws/lecture-en-ligne/lookism/240/,12
https://www.japscan.ws/manga/fire-brigade-of-flames/,448
https://www.japscan.ws/lecture-en-ligne/i-fell-in-love-so-i-tried-livestreaming/37/,12
https://www.japscan.ws/manga/pampered-by-my-rich-husband/,145
https://www.japscan.ws/lecture-en-ligne/pampered-by-my-rich-husband/5/,11
https://www.japscan.ws/lecture-en-ligne/pampered-by-my-rich-husband/4/,12
https://www.japscan.ws/manga/the-strongest-player/,155
https://www.japscan.ws/lecture-en-ligne/the-strongest-player/15/,11
https://www.japscan.ws/manga/days-with-my-step-sister/,147
https://www.japscan.ws/lecture-en-ligne/days-with-my-step-sister/5/,11
https://www.japscan.ws/manga/lust-geass/,178
https://www.japscan.ws/lecture-en-ligne/lust-geass/36/,11
https://www.japscan.ws/manga/living-with-the-emperor/,176
https://www.japscan.ws/lecture-en-ligne/living-with-the-emperor/32/,11
https://www.japscan.ws/lecture-en-ligne/parasyte-reversi/31/,12
